epoch:1
train path acc=0.8561256474611139	test path acc=0.6542670460613643	ensemble acc=0.6631016042780749
vote rate for correct=0.877758241023191	vote rate for wrong=0.809623685507773
results			label	correct	vote rate
7.0	3.0	0.0	1.0	0.0	1.0	0.6363636363636364
0.0	2.0	0.0	2.0	2.0	0.0	0.5
0.0	0.0	0.0	37.0	3.0	1.0	1.0
5.0	0.0	0.0	21.0	3.0	1.0	0.8076923076923077
25.0	1.0	0.0	0.0	0.0	1.0	0.9615384615384616
0.0	15.0	18.0	167.0	3.0	1.0	0.835
8.0	1.0	0.0	148.0	3.0	1.0	0.9426751592356688
10.0	34.0	0.0	1225.0	3.0	1.0	0.9653270291568163
0.0	0.0	0.0	76.0	3.0	1.0	1.0
74.0	5.0	0.0	1.0	0.0	1.0	0.925
1.0	71.0	0.0	267.0	3.0	1.0	0.7876106194690266
0.0	43.0	0.0	15.0	1.0	1.0	0.7413793103448276
0.0	32.0	0.0	0.0	1.0	1.0	1.0
0.0	0.0	0.0	81.0	3.0	1.0	1.0
105.0	53.0	0.0	1491.0	3.0	1.0	0.9041843541540328
67.0	38.0	0.0	49.0	0.0	1.0	0.43506493506493504
15.0	115.0	0.0	45.0	1.0	1.0	0.6571428571428571
0.0	0.0	0.0	309.0	2.0	0.0	1.0
156.0	172.0	0.0	1236.0	3.0	1.0	0.7902813299232737
142.0	44.0	27.0	16.0	1.0	0.0	0.6200873362445415
246.0	66.0	0.0	665.0	3.0	1.0	0.6806550665301945
0.0	0.0	0.0	608.0	3.0	1.0	1.0
142.0	1.0	0.0	0.0	0.0	1.0	0.993006993006993
0.0	30.0	0.0	0.0	1.0	1.0	1.0
0.0	0.0	0.0	27.0	1.0	0.0	1.0
0.0	47.0	0.0	0.0	1.0	1.0	1.0
297.0	10.0	0.0	0.0	0.0	1.0	0.9674267100977199
0.0	100.0	0.0	434.0	3.0	1.0	0.8127340823970037
0.0	103.0	0.0	0.0	1.0	1.0	1.0
173.0	1.0	0.0	1910.0	3.0	1.0	0.9165067178502879
7.0	840.0	95.0	384.0	2.0	0.0	0.6334841628959276
114.0	139.0	0.0	1.0	0.0	0.0	0.547244094488189
0.0	1.0	0.0	62.0	2.0	0.0	0.9841269841269841
1053.0	413.0	125.0	189.0	0.0	1.0	0.5915730337078652
43.0	993.0	120.0	96.0	1.0	1.0	0.7931309904153354
1.0	22.0	0.0	1461.0	3.0	1.0	0.9845013477088949
306.0	527.0	44.0	3596.0	3.0	1.0	0.8039347194276771
0.0	126.0	27.0	955.0	3.0	1.0	0.8619133574007221
198.0	1111.0	52.0	84.0	1.0	1.0	0.7688581314878893
152.0	89.0	0.0	0.0	0.0	1.0	0.6307053941908713
0.0	9.0	0.0	1862.0	0.0	0.0	0.9951897381079636
0.0	0.0	0.0	335.0	3.0	1.0	1.0
155.0	1659.0	12.0	4818.0	1.0	0.0	0.7251655629139073
546.0	71.0	0.0	29.0	1.0	0.0	0.8452012383900929
381.0	932.0	3.0	59.0	1.0	1.0	0.6778181818181818
550.0	7.0	0.0	104.0	0.0	1.0	0.8320726172465961
0.0	0.0	0.0	351.0	3.0	1.0	1.0
296.0	33.0	0.0	1471.0	3.0	1.0	0.8172222222222222
512.0	96.0	56.0	831.0	3.0	1.0	0.5558528428093645
12.0	14.0	0.0	65.0	0.0	0.0	0.7142857142857143
590.0	136.0	0.0	70.0	3.0	0.0	0.7412060301507538
69.0	0.0	0.0	0.0	0.0	1.0	1.0
4.0	2.0	0.0	2302.0	3.0	1.0	0.9974003466204506
95.0	574.0	1.0	105.0	1.0	1.0	0.7406451612903225
1.0	0.0	0.0	748.0	3.0	1.0	0.9986648865153538
1914.0	1141.0	5.0	89.0	0.0	1.0	0.6078120038107335
10.0	0.0	0.0	3.0	0.0	1.0	0.7692307692307693
9.0	0.0	0.0	3.0	1.0	0.0	0.75
55.0	497.0	0.0	3223.0	3.0	1.0	0.8537748344370861
2.0	120.0	9.0	812.0	0.0	0.0	0.8610816542948038
102.0	847.0	0.0	3178.0	2.0	0.0	0.7700508844196753
1.0	251.0	16.0	139.0	1.0	1.0	0.6167076167076168
0.0	0.0	0.0	2660.0	3.0	1.0	1.0
155.0	464.0	0.0	88.0	1.0	1.0	0.6562942008486563
140.0	24.0	0.0	148.0	0.0	0.0	0.47435897435897434
305.0	319.0	0.0	0.0	1.0	1.0	0.5112179487179487
240.0	55.0	0.0	0.0	0.0	1.0	0.8135593220338984
9.0	29.0	0.0	0.0	0.0	0.0	0.7631578947368421
428.0	493.0	0.0	0.0	1.0	1.0	0.5352877307274702
26.0	443.0	0.0	470.0	1.0	0.0	0.5005324813631523
0.0	145.0	0.0	117.0	3.0	0.0	0.5534351145038168
0.0	138.0	0.0	1061.0	3.0	1.0	0.8849040867389492
0.0	274.0	0.0	134.0	1.0	1.0	0.6715686274509803
241.0	0.0	0.0	588.0	3.0	1.0	0.7092882991556092
0.0	226.0	0.0	466.0	0.0	0.0	0.6734104046242775
216.0	364.0	0.0	759.0	0.0	0.0	0.566840926064227
490.0	565.0	29.0	5.0	1.0	1.0	0.5188246097337006
2548.0	455.0	0.0	10.0	0.0	1.0	0.8456687686691006
395.0	0.0	0.0	1.0	0.0	1.0	0.9974747474747475
284.0	0.0	0.0	2.0	0.0	1.0	0.993006993006993
288.0	285.0	0.0	6328.0	3.0	1.0	0.9169685552818432
0.0	0.0	0.0	497.0	3.0	1.0	1.0
357.0	2.0	0.0	4099.0	3.0	1.0	0.9194706146253926
361.0	575.0	0.0	10475.0	3.0	1.0	0.9179738848479537
2.0	271.0	0.0	1123.0	3.0	1.0	0.8044412607449857
239.0	123.0	0.0	0.0	1.0	0.0	0.6602209944751382
3.0	711.0	0.0	4.0	1.0	1.0	0.9902506963788301
234.0	498.0	0.0	0.0	2.0	0.0	0.680327868852459
220.0	373.0	0.0	4.0	1.0	1.0	0.6247906197654941
170.0	1429.0	128.0	343.0	1.0	1.0	0.6903381642512078
1.0	571.0	0.0	0.0	1.0	1.0	0.9982517482517482
337.0	279.0	0.0	255.0	3.0	0.0	0.3869115958668197
122.0	1713.0	0.0	136.0	1.0	1.0	0.8691019786910198
1179.0	3.0	0.0	3.0	0.0	1.0	0.9949367088607595
4.0	353.0	0.0	3474.0	3.0	1.0	0.9068128425998434
309.0	0.0	0.0	137.0	3.0	0.0	0.6928251121076233
317.0	0.0	0.0	140.0	3.0	0.0	0.6936542669584245
136.0	23.0	0.0	631.0	0.0	0.0	0.7987341772151899
771.0	3.0	1.0	2904.0	3.0	1.0	0.7893449306876869
549.0	28.0	179.0	474.0	0.0	1.0	0.44634146341463415
281.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	202.0	0.0	1450.0	3.0	1.0	0.8777239709443099
641.0	99.0	176.0	602.0	0.0	1.0	0.42226613965744403
265.0	617.0	0.0	222.0	3.0	0.0	0.5588768115942029
399.0	187.0	0.0	2.0	2.0	0.0	0.6785714285714286
1711.0	730.0	75.0	893.0	0.0	1.0	0.501906717512467
26.0	1918.0	168.0	2775.0	1.0	0.0	0.5678330263965623
0.0	289.0	0.0	0.0	1.0	1.0	1.0
0.0	232.0	37.0	451.0	3.0	1.0	0.6263888888888889
0.0	5.0	0.0	526.0	2.0	0.0	0.9905838041431262
863.0	5.0	0.0	0.0	0.0	1.0	0.9942396313364056
2160.0	1619.0	0.0	6.0	0.0	1.0	0.570673712021136
5.0	9.0	0.0	1207.0	3.0	1.0	0.9885339885339886
1400.0	598.0	0.0	775.0	0.0	1.0	0.5048683736025965
4.0	853.0	249.0	6342.0	3.0	1.0	0.8515037593984962
1061.0	0.0	0.0	1.0	0.0	1.0	0.9990583804143126
36.0	1159.0	168.0	529.0	2.0	0.0	0.6125792811839323
404.0	0.0	0.0	134.0	1.0	0.0	0.7509293680297398
48.0	0.0	1.0	11.0	2.0	0.0	0.8
0.0	0.0	0.0	1252.0	3.0	1.0	1.0
0.0	46.0	0.0	926.0	3.0	1.0	0.9526748971193416
281.0	47.0	0.0	493.0	3.0	1.0	0.6004872107186358
229.0	0.0	0.0	274.0	1.0	0.0	0.5447316103379721
0.0	1.0	0.0	1970.0	2.0	0.0	0.9994926433282597
422.0	160.0	0.0	1.0	0.0	1.0	0.7238421955403087
1255.0	50.0	0.0	708.0	0.0	1.0	0.6234475906607054
0.0	334.0	0.0	0.0	1.0	1.0	1.0
120.0	288.0	0.0	1.0	0.0	0.0	0.7041564792176039
120.0	293.0	0.0	4.0	2.0	0.0	0.7026378896882494
4.0	0.0	0.0	643.0	0.0	0.0	0.9938176197836167
923.0	57.0	0.0	2.0	0.0	1.0	0.939918533604888
0.0	330.0	0.0	677.0	3.0	1.0	0.6722939424031777
387.0	43.0	0.0	25.0	1.0	0.0	0.8505494505494505
