epoch:1
train path acc=0.9024320961221708	test path acc=0.6193869379158772	ensemble acc=0.653272101033295
vote rate for correct mean=0.8517300242902516 max=1.0 min=0.0
vote rate for wrong mean=0.7921951668565522 max=1.0 min=0.2966263526416295
id	results				label	correct	vote rate
2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0
5.0	1.0	3.0	0.0	17.0	1.0	0.0	0.8095238095238095
6.0	0.0	4.0	2.0	0.0	2.0	0.0	0.6666666666666666
8.0	0.0	0.0	13.0	5.0	3.0	0.0	0.7222222222222222
10.0	0.0	4.0	3.0	23.0	1.0	0.0	0.7666666666666667
22.0	138.0	37.0	0.0	137.0	1.0	0.0	0.4423076923076923
36.0	5.0	487.0	0.0	2.0	3.0	0.0	0.9858299595141701
38.0	0.0	0.0	44.0	248.0	2.0	0.0	0.8493150684931506
43.0	0.0	93.0	0.0	25.0	3.0	0.0	0.788135593220339
45.0	31.0	0.0	0.0	241.0	0.0	0.0	0.8860294117647058
47.0	63.0	51.0	2.0	2.0	3.0	0.0	0.5338983050847458
70.0	156.0	63.0	0.0	0.0	1.0	0.0	0.7123287671232876
72.0	183.0	1191.0	130.0	670.0	3.0	0.0	0.547838086476541
86.0	8.0	132.0	0.0	274.0	1.0	0.0	0.6618357487922706
91.0	102.0	648.0	53.0	666.0	2.0	0.0	0.4533696392103472
97.0	0.0	154.0	0.0	0.0	2.0	0.0	1.0
103.0	14.0	346.0	1.0	568.0	0.0	0.0	0.6114101184068891
110.0	766.0	805.0	69.0	707.0	0.0	0.0	0.3429910524073285
111.0	0.0	239.0	0.0	46.0	3.0	0.0	0.8385964912280702
115.0	140.0	188.0	1.0	0.0	0.0	0.0	0.5714285714285714
116.0	1243.0	1135.0	110.0	263.0	1.0	0.0	0.4518356961105053
124.0	0.0	21.0	0.0	2176.0	0.0	0.0	0.9904415111515703
127.0	281.0	350.0	0.0	108.0	0.0	0.0	0.4736129905277402
132.0	128.0	32.0	0.0	1.0	2.0	0.0	0.7950310559006211
133.0	56.0	3425.0	12.0	4216.0	1.0	0.0	0.5468932416655857
134.0	96.0	211.0	0.0	550.0	1.0	0.0	0.6417736289381564
135.0	712.0	257.0	0.0	0.0	1.0	0.0	0.7347781217750258
136.0	146.0	190.0	0.0	0.0	0.0	0.0	0.5654761904761905
143.0	1.0	49.0	0.0	795.0	2.0	0.0	0.9408284023668639
144.0	332.0	371.0	0.0	135.0	0.0	0.0	0.44272076372315033
148.0	4.0	10.0	63.0	770.0	2.0	0.0	0.9090909090909091
155.0	11.0	41.0	0.0	9.0	0.0	0.0	0.6721311475409836
157.0	548.0	156.0	52.0	253.0	3.0	0.0	0.5431119920713577
158.0	0.0	17.0	22.0	405.0	1.0	0.0	0.9121621621621622
171.0	0.0	13.0	0.0	0.0	0.0	0.0	1.0
175.0	223.0	117.0	0.0	0.0	1.0	0.0	0.6558823529411765
186.0	0.0	136.0	0.0	975.0	0.0	0.0	0.8775877587758776
187.0	840.0	96.0	0.0	1.0	1.0	0.0	0.8964781216648879
193.0	1442.0	697.0	77.0	2427.0	1.0	0.0	0.5227223777729916
200.0	1524.0	854.0	4.0	47.0	1.0	0.0	0.6274186908192672
201.0	622.0	115.0	0.0	1906.0	0.0	0.0	0.7211502080968596
211.0	865.0	520.0	0.0	3.0	1.0	0.0	0.6231988472622478
212.0	537.0	297.0	1.0	7.0	1.0	0.0	0.6377672209026128
213.0	721.0	869.0	480.0	1975.0	1.0	0.0	0.48825710754017304
215.0	616.0	90.0	0.0	0.0	1.0	0.0	0.8725212464589235
220.0	226.0	0.0	0.0	0.0	1.0	0.0	1.0
224.0	25.0	0.0	0.0	3.0	2.0	0.0	0.8928571428571429
227.0	0.0	33.0	5.0	513.0	1.0	0.0	0.9310344827586207
233.0	955.0	257.0	112.0	111.0	1.0	0.0	0.6655052264808362
240.0	995.0	48.0	9.0	14.0	1.0	0.0	0.9333958724202627
251.0	109.0	387.0	29.0	98.0	2.0	0.0	0.6211878009630819
254.0	0.0	114.0	0.0	32.0	2.0	0.0	0.7808219178082192
255.0	1221.0	1161.0	409.0	2.0	1.0	0.0	0.4371643394199785
259.0	752.0	82.0	38.0	1.0	3.0	0.0	0.861397479954181
265.0	634.0	653.0	22.0	21.0	0.0	0.0	0.49097744360902257
