epoch:1
train path acc=0.8746282324959246	test path acc=0.6430379933410524	ensemble acc=0.669345579793341
vote rate for correct mean=0.8655792954375968 max=1.0 min=0.0
vote rate for wrong mean=0.7893623742699721 max=1.0 min=0.0
id	results				label	correct	vote rate
2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0
5.0	0.0	1.0	0.0	19.0	1.0	0.0	0.95
6.0	0.0	7.0	0.0	0.0	2.0	0.0	1.0
9.0	14.0	1.0	0.0	8.0	3.0	0.0	0.6086956521739131
22.0	79.0	0.0	0.0	235.0	1.0	0.0	0.7484076433121019
29.0	0.0	56.0	0.0	15.0	3.0	0.0	0.7887323943661971
31.0	104.0	76.0	0.0	6.0	1.0	0.0	0.5591397849462365
36.0	47.0	284.0	11.0	47.0	3.0	0.0	0.7300771208226221
38.0	0.0	0.0	0.0	311.0	2.0	0.0	1.0
45.0	22.0	96.0	0.0	148.0	0.0	0.0	0.556390977443609
47.0	35.0	80.0	0.0	0.0	3.0	0.0	0.6956521739130435
70.0	152.0	20.0	0.0	2.0	1.0	0.0	0.8735632183908046
72.0	72.0	814.0	94.0	634.0	3.0	0.0	0.5043370508054523
75.0	0.0	0.0	0.0	25.0	1.0	0.0	1.0
86.0	14.0	113.0	5.0	263.0	1.0	0.0	0.6658227848101266
91.0	189.0	463.0	75.0	501.0	2.0	0.0	0.40798045602605865
97.0	0.0	124.0	0.0	0.0	2.0	0.0	1.0
103.0	35.0	0.0	90.0	662.0	0.0	0.0	0.841168996188056
110.0	577.0	415.0	90.0	986.0	0.0	0.0	0.47678916827852996
115.0	97.0	111.0	0.0	8.0	0.0	0.0	0.5138888888888888
116.0	999.0	870.0	243.0	45.0	1.0	0.0	0.4631432545201669
117.0	5.0	3.0	0.0	11.0	0.0	0.0	0.5789473684210527
124.0	0.0	4.0	162.0	1844.0	0.0	0.0	0.9174129353233831
127.0	149.0	358.0	0.0	90.0	0.0	0.0	0.5996649916247906
129.0	0.0	153.0	0.0	77.0	3.0	0.0	0.6652173913043479
132.0	38.0	40.0	1.0	13.0	2.0	0.0	0.43478260869565216
133.0	208.0	2239.0	0.0	4224.0	1.0	0.0	0.6331884275221106
135.0	523.0	126.0	0.0	104.0	1.0	0.0	0.6945551128818062
143.0	0.0	62.0	15.0	690.0	2.0	0.0	0.8996088657105606
148.0	0.0	200.0	0.0	685.0	2.0	0.0	0.7740112994350282
157.0	482.0	368.0	16.0	132.0	3.0	0.0	0.48296593186372744
158.0	0.0	1.0	58.0	376.0	1.0	0.0	0.864367816091954
165.0	0.0	0.0	141.0	0.0	1.0	0.0	1.0
171.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0
186.0	2.0	260.0	0.0	533.0	0.0	0.0	0.670440251572327
187.0	316.0	283.0	0.0	58.0	1.0	0.0	0.4809741248097412
189.0	172.0	157.0	1.0	432.0	1.0	0.0	0.5669291338582677
193.0	1119.0	671.0	1.0	2088.0	1.0	0.0	0.5382830626450116
198.0	181.0	273.0	0.0	1.0	0.0	0.0	0.6
200.0	1381.0	591.0	3.0	256.0	1.0	0.0	0.6190049305244285
201.0	450.0	155.0	0.0	1654.0	0.0	0.0	0.732182381584772
211.0	606.0	438.0	5.0	3.0	1.0	0.0	0.5760456273764258
212.0	355.0	259.0	0.0	52.0	1.0	0.0	0.5330330330330331
213.0	738.0	908.0	0.0	2042.0	1.0	0.0	0.5536876355748374
215.0	636.0	13.0	0.0	2.0	1.0	0.0	0.9769585253456221
218.0	0.0	27.0	0.0	19.0	2.0	0.0	0.5869565217391305
220.0	197.0	0.0	0.0	0.0	1.0	0.0	1.0
224.0	10.0	4.0	0.0	0.0	2.0	0.0	0.7142857142857143
227.0	1.0	58.0	0.0	483.0	1.0	0.0	0.8911439114391144
240.0	839.0	97.0	0.0	151.0	1.0	0.0	0.7718491260349586
251.0	217.0	239.0	0.0	191.0	2.0	0.0	0.3693972179289026
254.0	0.0	0.0	0.0	151.0	2.0	0.0	1.0
259.0	449.0	26.0	0.0	409.0	3.0	0.0	0.5079185520361991
274.0	318.0	0.0	0.0	549.0	0.0	0.0	0.6332179930795848
285.0	2.0	82.0	4.0	0.0	3.0	0.0	0.9318181818181818
290.0	495.0	335.0	7.0	585.0	0.0	0.0	0.41139240506329117
297.0	434.0	247.0	9.0	251.0	3.0	0.0	0.461211477151966
298.0	506.0	148.0	0.0	0.0	2.0	0.0	0.7737003058103975
308.0	0.0	0.0	0.0	588.0	2.0	0.0	1.0
325.0	81.0	50.0	0.0	622.0	0.0	0.0	0.8260292164674635
329.0	0.0	931.0	40.0	0.0	2.0	0.0	0.9588053553038105
331.0	63.0	257.0	454.0	80.0	1.0	0.0	0.531615925058548
333.0	38.0	1503.0	34.0	146.0	2.0	0.0	0.873329459616502
338.0	3.0	538.0	2.0	247.0	3.0	0.0	0.6810126582278481
340.0	272.0	505.0	0.0	376.0	3.0	0.0	0.43798785776235905
344.0	0.0	0.0	0.0	645.0	1.0	0.0	1.0
346.0	11.0	445.0	0.0	0.0	0.0	0.0	0.9758771929824561
347.0	17.0	11.0	2.0	1892.0	2.0	0.0	0.9843912591050988
353.0	628.0	445.0	1.0	806.0	0.0	0.0	0.42872340425531913
354.0	0.0	53.0	221.0	0.0	1.0	0.0	0.8065693430656934
364.0	0.0	5.0	0.0	661.0	0.0	0.0	0.9924924924924925
365.0	0.0	990.0	58.0	215.0	3.0	0.0	0.7838479809976246
373.0	762.0	73.0	23.0	825.0	0.0	0.0	0.49019607843137253
374.0	346.0	362.0	1.0	0.0	0.0	0.0	0.5105782792665726
380.0	0.0	484.0	0.0	102.0	3.0	0.0	0.825938566552901
385.0	164.0	194.0	0.0	1.0	0.0	0.0	0.5403899721448467
386.0	0.0	1.0	0.0	137.0	2.0	0.0	0.9927536231884058
392.0	887.0	0.0	112.0	1350.0	1.0	0.0	0.5747126436781609
395.0	455.0	0.0	0.0	3.0	3.0	0.0	0.9934497816593887
396.0	450.0	1.0	0.0	2.0	3.0	0.0	0.9933774834437086
400.0	1006.0	13.0	5.0	1303.0	1.0	0.0	0.5599484314568114
407.0	706.0	0.0	0.0	2.0	3.0	0.0	0.9971751412429378
409.0	0.0	0.0	373.0	177.0	3.0	0.0	0.6781818181818182
414.0	0.0	122.0	42.0	0.0	2.0	0.0	0.7439024390243902
420.0	305.0	1.0	0.0	0.0	1.0	0.0	0.9967320261437909
424.0	76.0	1817.0	0.0	904.0	3.0	0.0	0.6496245977833393
431.0	273.0	0.0	0.0	2.0	3.0	0.0	0.9927272727272727
432.0	257.0	72.0	0.0	1192.0	0.0	0.0	0.7836949375410914
434.0	0.0	347.0	0.0	715.0	1.0	0.0	0.6732580037664784
439.0	320.0	97.0	0.0	882.0	1.0	0.0	0.6789838337182448
442.0	47.0	32.0	202.0	222.0	1.0	0.0	0.441351888667992
443.0	443.0	570.0	3.0	9.0	0.0	0.0	0.5560975609756098
447.0	1.0	83.0	0.0	2.0	0.0	0.0	0.9651162790697675
451.0	73.0	70.0	0.0	0.0	2.0	0.0	0.5104895104895105
453.0	1476.0	216.0	0.0	1706.0	0.0	0.0	0.5020600353148911
459.0	3.0	527.0	0.0	265.0	2.0	0.0	0.6628930817610063
462.0	53.0	17.0	0.0	82.0	0.0	0.0	0.5394736842105263
463.0	0.0	0.0	0.0	716.0	2.0	0.0	1.0
468.0	4.0	240.0	0.0	0.0	0.0	0.0	0.9836065573770492
479.0	3.0	330.0	1.0	238.0	3.0	0.0	0.5769230769230769
481.0	0.0	34.0	109.0	873.0	1.0	0.0	0.859251968503937
486.0	0.0	1203.0	86.0	759.0	2.0	0.0	0.58740234375
